zcta,pop,moe
55111,100,91
55305,21256,893
55311,37797,1494
55313,25268,697
55316,23666,36
55317,21959,358
55327,5168,433
55328,9730,242
55331,19226,810
55340,9414,602
55341,3433,165
55343,26813,843
55344,14759,914
55345,21440,879
55346,18048,1096
55347,30816,1122
55356,5965,750
55357,3474,440
55359,7253,699
55364,14214,653
55369,37983,1512
55373,5501,413
55374,15777,655
55375,4213,476
55384,1919,298
55387,14409,235
55388,5997,202
55391,15773,873
55401,11510,945
55402,709,252
55403,17161,1192
55404,28172,1735
55405,17099,1439
55406,35726,1287
55407,36997,2078
55408,32312,1531
55409,11235,977
55410,20765,1117
55411,30625,1655
55412,25762,1687
55413,14076,925
55414,33342,1802
55415,6120,664
55416,34715,1444
55417,25900,1555
55418,30797,1489
55419,29730,1702
55420,23433,1335
55421,30787,803
55422,28373,1130
55423,36859,69
55424,10203,857
55425,10868,1155
55426,25491,904
55427,25908,1254
55428,32967,1654
55429,28392,1518
55430,23363,1162
55431,19477,1210
55435,14053,874
55436,14337,742
55437,19401,1040
55438,16009,913
55439,9211,742
55441,18289,1085
55442,13120,923
55443,32912,1533
55444,17716,1090
55445,13459,1080
55446,27422,1449
55447,21506,973
55450,0,9
55454,8892,1126
55455,4985,881
