ZIP,COUNTY,USPS_ZIP_PREF_CITY,USPS_ZIP_PREF_STATE,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO
55107,27053,SAINT PAUL,MN,0,0.008333333,0.004301075,8.83169e-4
55111,27053,SAINT PAUL,MN,1,1,1,1
55113,27053,SAINT PAUL,MN,4.6542e-5,0.00310559,0,3.60996e-4
55305,27053,HOPKINS,MN,1,1,1,1
55311,27053,MAPLE GROVE,MN,1,1,1,1
55316,27053,CHAMPLIN,MN,1,1,1,1
55317,27053,CHANHASSEN,MN,0,0.064763996,0.007380074,0.005638229
55323,27053,CRYSTAL BAY,MN,0,1,1,1
55327,27053,DAYTON,MN,0.990238977,1,1,0.990457387
55328,27053,DELANO,MN,0.021403354,0.015267176,0.01754386,0.020986145
55331,27053,EXCELSIOR,MN,0.820504798,0.971604938,0.963963964,0.835028249
55340,27053,HAMEL,MN,1,1,1,1
55341,27053,HANOVER,MN,0.163394554,0.054054054,0.272727273,0.161647203
55343,27053,HOPKINS,MN,1,1,1,1
55344,27053,EDEN PRAIRIE,MN,1,1,1,1
55345,27053,MINNETONKA,MN,0.999371596,1,1,0.999419448
55346,27053,EDEN PRAIRIE,MN,1,1,1,1
55347,27053,EDEN PRAIRIE,MN,1,1,1,1
55356,27053,LONG LAKE,MN,1,1,1,1
55357,27053,LORETTO,MN,1,1,1,1
55359,27053,MAPLE PLAIN,MN,1,1,1,1
55361,27053,MINNETONKA BEACH,MN,1,1,1,1
55364,27053,MOUND,MN,1,1,1,1
55369,27053,OSSEO,MN,1,1,1,1
55373,27053,ROCKFORD,MN,0.284393491,0.316062176,0.282051282,0.286386555
55374,27053,ROGERS,MN,0.923132617,0.99754902,1,0.931179321
55375,27053,SAINT BONIFACIUS,MN,0.991344874,0.972972973,0.909090909,0.989918084
55384,27053,SPRING PARK,MN,1,1,1,1
55387,27053,WACONIA,MN,0.00135257,0,0,0.001240353
55388,27053,WATERTOWN,MN,0.006639616,0,0,0.006287111
55391,27053,WAYZATA,MN,1,1,1,1
55401,27053,MINNEAPOLIS,MN,1,1,1,1
55402,27053,MINNEAPOLIS,MN,1,1,1,1
55403,27053,MINNEAPOLIS,MN,1,1,1,1
55404,27053,MINNEAPOLIS,MN,1,1,1,1
55405,27053,MINNEAPOLIS,MN,1,1,1,1
55406,27053,MINNEAPOLIS,MN,1,1,1,1
55407,27053,MINNEAPOLIS,MN,1,1,1,1
55408,27053,MINNEAPOLIS,MN,1,1,1,1
55409,27053,MINNEAPOLIS,MN,1,1,1,1
55410,27053,MINNEAPOLIS,MN,1,1,1,1
55411,27053,MINNEAPOLIS,MN,1,1,1,1
55412,27053,MINNEAPOLIS,MN,1,1,1,1
55413,27053,MINNEAPOLIS,MN,1,1,1,1
55414,27053,MINNEAPOLIS,MN,1,1,1,1
55415,27053,MINNEAPOLIS,MN,1,1,1,1
55416,27053,MINNEAPOLIS,MN,1,1,1,1
55417,27053,MINNEAPOLIS,MN,1,1,1,1
55418,27053,MINNEAPOLIS,MN,1,1,1,1
55419,27053,MINNEAPOLIS,MN,1,1,1,1
55420,27053,MINNEAPOLIS,MN,1,1,1,1
55421,27053,MINNEAPOLIS,MN,0.007874564,0.012790698,0.008836524,0.008181761
55422,27053,MINNEAPOLIS,MN,1,1,1,1
55423,27053,MINNEAPOLIS,MN,1,1,1,1
55424,27053,MINNEAPOLIS,MN,1,1,1,1
55425,27053,MINNEAPOLIS,MN,1,1,1,1
55426,27053,MINNEAPOLIS,MN,1,1,1,1
55427,27053,MINNEAPOLIS,MN,1,1,1,1
55428,27053,MINNEAPOLIS,MN,1,1,1,1
55429,27053,MINNEAPOLIS,MN,1,1,1,1
55430,27053,MINNEAPOLIS,MN,1,1,1,1
55431,27053,MINNEAPOLIS,MN,1,1,1,1
55435,27053,MINNEAPOLIS,MN,1,1,1,1
55436,27053,MINNEAPOLIS,MN,1,1,1,1
55437,27053,MINNEAPOLIS,MN,1,1,1,1
55438,27053,MINNEAPOLIS,MN,1,1,1,1
55439,27053,MINNEAPOLIS,MN,1,1,1,1
55440,27053,MINNEAPOLIS,MN,0,1,1,1
55441,27053,MINNEAPOLIS,MN,1,1,1,1
55442,27053,MINNEAPOLIS,MN,1,1,1,1
55443,27053,MINNEAPOLIS,MN,1,1,1,1
55444,27053,MINNEAPOLIS,MN,1,1,1,1
55445,27053,MINNEAPOLIS,MN,1,1,1,1
55446,27053,MINNEAPOLIS,MN,1,1,1,1
55447,27053,MINNEAPOLIS,MN,1,1,1,1
55450,27053,MINNEAPOLIS,MN,1,1,1,1
55454,27053,MINNEAPOLIS,MN,1,1,1,1
55455,27053,MINNEAPOLIS,MN,1,1,1,1
55458,27053,MINNEAPOLIS,MN,1,1,1,1
55467,27053,MINNEAPOLIS,MN,0,1,0,1
55474,27053,MINNEAPOLIS,MN,0,1,0,1
55479,27053,MINNEAPOLIS,MN,0,1,1,1
55480,27053,MINNEAPOLIS,MN,0,0,1,1
55487,27053,MINNEAPOLIS,MN,0,1,0,1
55488,27053,MINNEAPOLIS,MN,0,1,0,1
